Job Title,Role,skills
Back-End Developer,API Developer,"API design and development; RESTful; API knowledge; Security protocols (OAuth, JWT)"
Back-End Developer,Server Developer,"Server-side programming languages (e.g., Java, Python), Database management, API development"
Data Analyst,Business Intelligence Analyst,"Data analysis and visualization tools (e.g., Tableau, Power, BI), SQL and database querying, Business intelligence concepts, Data modeling and reporting, Strong analytical and problem-solving skills, Data-driven decision-making"
Data Analyst,Data Quality Analyst,"Data quality assessment and improvement, Data profiling and validation, Knowledge of data quality tools (e.g., Informatica, Talend), Data governance principles, SQL for data analysis, Attention to detail and data accuracy"
Data Analyst,Data Scientist,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch), Statistical analysis and modeling, Data preprocessing and cleaning, Big data technologies (e.g., Hadoop, Spark), Data visualization, Strong programming skills (Python, R)"
Data Engineer,Big Data Engineer,"Big data technologies (Hadoop, Spark, etc.), Data processing and analysis, Distributed computing"
Data Engineer,Data Architect,"Data architecture design, Database management systems, Data modeling"
Data Engineer,ETL Developer,"ETL (Extract, Transform, Load) processes, Data integration, SQL and scripting languages"
Data Scientist,Data Engineer,"Data integration, ETL (Extract, Transform, Load), Big data technologies (e.g., Hadoop, Spark), Database management, Data warehousing"
Data Scientist,Machine Learning Engineer,"Machine learning algorithms, Python programming, Data preprocessing, Deep learning, Model evaluation"
Database Administrator,Database Analyst,"Data analysis, Database querying and reporting, Data visualization, SQL proficiency, Data quality assurance"
Database Administrator,Database Developer,"Database design and development, SQL and database querying, Data modeling, Programming languages (e.g., Java, Python), Data security and privacy regulations knowledge"
Database Administrator,Database Security Specialist,"Database security measures, Data encryption and access control, Security compliance, Vulnerability assessment, Database auditing and monitoring"
Database Developer,NoSQL Database Engineer,"NoSQL databases (e.g., MongoDB, Cassandra), Data modeling, Data migration, Performance tuning, Scalability, Distributed systems"
Database Developer,SQL Database Developer,"SQL (Structured, Query, Language), Database design, Query optimization, Data modeling, Database maintenance, Problem-solving skills"
Front-End Developer,Accessibility Developer,"Web accessibility standards (e.g., WCAG), Assistive technologies, Accessibility testing tools, HTML and, CSS for accessibility, ARIA (Accessible, Rich, Internet, Applications), User experience (UX) for accessibility, Usability testing with individuals with disabilities, Collaboration, Attention to detail"
Front-End Developer,UI/UX Developer,"User interface (UI) design, User experience (UX) design, Web design principles, Prototyping and wireframing, Front-end development languages (e.g., HTML, CSS, JavaScript), Interaction design, User testing, Responsive design, Usability testing, Collaboration, Attention to detail"
Front-End Developer,Web Designer,"Web design concepts, Graphic design software (e.g., Adobe, Creative, Suite), HTML and, CSS, Responsive design, User interface (UI) principles, Visual communication, Typography, Color theory, Creativity, Attention to detail, Collaboration"
Front-End Engineer,JavaScript Developer,"JavaScript programming, Frontend development, Frontend frameworks (e.g., React, Angular), DOM manipulation, AJAX, Debugging and troubleshooting"
Front-End Engineer,UI/UX Front-End Developer,"UI/UX design, Frontend web development, Wireframing and prototyping, User research, Accessibility standards, Responsive design, Collaboration skills"
Graphic Designer,Print Graphic Designer,"Print design software (e.g., Adobe, InDesign, Illustrator), Layout and composition, Print production processes, Color theory and management, Attention to detail, Print industry knowledge"
Graphic Designer,UI/UX Designer,"User interface (UI) design, User experience (UX) design, Wireframing and prototyping tools (e.g., Sketch, Figma), Usability testing, Information architecture, Interaction design, Mobile and responsive design"
Graphic Designer,Web Graphic Designer,"Graphic design tools (e.g., Adobe, Creative, Suite), Web design principles, User interface (UI) design, Visual communication, Typography, Creativity and artistic skills"
IT Administrator,System Administrator,"System administration, Network administration, Troubleshooting, Security management, Server maintenance, Backup and recovery"
IT Manager,IT Director,"Strategic, IT planning, Leadership and management, Budgeting and financial management, IT governance and compliance, Vendor management, Cybersecurity and risk management, Project management, Cloud computing, Network infrastructure, Enterprise software systems"
IT Manager,Infrastructure Manager,"Network administration, System administration, Virtualization technologies (e.g., VMware, Hyper-V), Storage management, IT security, Disaster recovery planning, Capacity planning, Monitoring and troubleshooting, Cloud infrastructure (e.g., AWS, Azure), Vendor management"
IT Support Specialist,Desktop Support Technician,"Desktop hardware and software troubleshooting, Operating system expertise (e.g., Windows, macOS), Remote desktop support, Hardware and software upgrades, Customer service skills"
IT Support Specialist,Help Desk Support Specialist,"Technical troubleshooting, Customer service and communication, Ticketing system usage, Basic, IT knowledge, Problem-solving and critical-thinking skills"
IT Support Specialist,IT Systems Administrator,"Network administration, System and server maintenance, Cybersecurity knowledge, Backup and recovery, IT project management skills"
Java Developer,Java Backend Developer,"Backend development, RESTful, APIs, Database integration, Java, EE (Enterprise, Edition), Performance optimization, Version control (e.g., Git)"
Java Developer,Java Software Engineer,"Java programming, Java frameworks (e.g., Spring), Object-oriented design, Code debugging, Software development, Problem-solving skills"
Java Developer,Java Web Application Developer,"Web application development, Java web frameworks (e.g., Servlets, JSP), Frontend integration, User authentication, Security protocols, Code documentation"
Network Administrator,Network Engineer,"Network infrastructure design, Routing and switching, Network protocols (e.g., TCP/IP), Cisco or, Juniper certifications, Troubleshooting and diagnostics, Security protocols, Wireless networking, Network monitoring, Collaboration, Problem-solving, Attention to detail"
Network Administrator,Network Security Analyst,"Network security protocols, Intrusion detection and prevention, Security incident response, Firewall administration, Vulnerability assessment, Security policies and procedures, Log analysis, Ethical hacking, Problem-solving, Communication skills, Attention to detail"
Network Administrator,Systems Administrator,"System administration, Server maintenance, Active, Directory, Backup and recovery, Cloud computing (e.g., AWS, Azure), Troubleshooting, IT security best practices, Collaboration, Problem-solving, Attention to detail, Communication skills, Technical knowledge"
Network Analyst,Network Performance Analyst,"Network performance analysis, Network monitoring tools (e.g., Wireshark), Troubleshooting, Capacity planning, Data analysis, Network protocols"
Network Engineer,Network Administrator,"Network management, Troubleshooting, Network security, IT certifications (e.g., CCNA)"
Network Engineer,Network Security Engineer,"Network security protocols and technologies, Firewalls and intrusion detection systems, Vulnerability assessment and penetration testing, Security policy development and enforcement, Incident response and recovery"
Network Engineer,Wireless Network Engineer,"Wireless network design and architecture, Wi-Fi standards and protocols, RF (Radio, Frequency) planning and optimization, Wireless security protocols, Troubleshooting wireless network issues"
Network Security Specialist,Cybersecurity Analyst,"Cybersecurity, Security assessments, Intrusion detection, Security tools (e.g., SIEM), Incident response, Vulnerability scanning"
Network Security Specialist,Security Consultant,"Security consulting, Risk assessment, Security audits, Security policy development, Penetration testing, Client communication"
Network Technician,Network Security Specialist,"Network security, Cybersecurity, Intrusion detection, Security analysis, Firewall management"
